"CASE	""SERIAL""	""REF""	""QUESTNNR""	""MODE""	""STARTED""	""SD01""	""SD15_01""	""SD15_01a""	""SD19_01""	""SD20_01""	""ST01""	""ST01_01""	""CO02_01""	""CO02_02""	""CO06_01""	""CO06_02""	""CO06_03""	""CO07_01""	""CO07_02""	""CO07_03""	""CO07_04""	""CO07_05""	""CO05_01""	""CO05_02""	""CO05_03""	""CO05_04""	""CO05_05""	""CO08_01""	""CO08_02""	""CO08_03""	""CO09_01""	""CO09_02""	""CO09_03""	""CO10_01""	""CO17_01""	""CO11_01""	""CO18_01""	""CO12_01""	""CO19_01""	""CO13_01""	""CO20_01""	""CO14_01""	""CO21_01""	""CO15_01""	""CO22_01""	""Z101_CP""	""Z101""	""Z104_CP""	""Z104x01""	""Z104x02""	""Z104x03""	""Z104x04""	""Z104x05""	""Z104x06""	""Z105_CP""	""Z105x01""	""Z105x02""	""Z105x03""	""Z105x04""	""Z105x05""	""Z105x06""	""TIME002""	""TIME003""	""TIME004""	""TIME005""	""TIME006""	""TIME007""	""TIME008""	""TIME009""	""TIME010""	""TIME011""	""TIME012""	""TIME013""	""TIME014""	""TIME015""	""TIME016""	""TIME017""	""TIME018""	""TIME019""	""TIME_SUM""	""MAILSENT""	""LASTDATA""	""FINISHED""	""Q_VIEWER""	""LASTPAGE""	""MAXPAGE""	""MISSING""	""MISSREL""	""TIME_RSI""	""DEG_TIME"""
"170			""base""	""interview""	2022-05-02 10:58:30	2	""Student - Musikvermittler""	F	22		1	T	2	4	7	5	7	6	6	2	5	3	5	5	2	2	6	7	1	4	7	2	7	4			7		7	4		4			7	17	1	20	1	5	2	6	4	3	43	1	4	5	3	2	6	124	39	30	25	72	4	11	20	4	11	27	59	21	33	27	26	14	3	337		2022-05-02 11:07:40	T	F	19	19	3	0	1.08	16"
"171			""base""	""interview""	2022-05-02 11:00:00	2	""wissenschaftlicher Mitarbeiter am Lehrstuhl für Data Science""	F	35	""Die Erklärungen zu den Lebensformen sind zwar alle richtig und schlüssig, erscheinen aber etwas zu einfach für die komplexe Aufgabe ein Tier anhand mehrerer Merkmale zu klassifizieren. Es scheint als würde diese Art der Erklärungen eher zu Szenarien mit einfachen Klassen passen (wie bspw. dem Stammbaumszenario).""	1	T	6	7	6	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	6	6	6	6			7		7	5		5			7	18	1	21	6	4	1	5	2	3	44	1	3	5	6	4	2	26	28	70	21	51	9	18	5	12	14	36	12	14	68	32	78	50	101	455		2022-05-02 11:10:45	T	F	19	19	0	0	0.82	8"
"173			""base""	""interview""	2022-05-02 11:03:44	1	""Projektmitarbeiterin ""	F	23		1	T	3	3	5	5	5	5	3	3	5	2	3	3	3	6	7	5	5	5	4	6	6		7	3		7			7		7	7		19	2	22	4	3	6	5	1	2	45	6	3	1	4	5	2	9	21	39	12	5	10	6	8	11	10	11	13	7	26	37	10	12	3	250		2022-05-02 11:07:54	T	F	19	19	3	0	1.53	28"
"183			""base""	""interview""	2022-05-02 11:23:15	2		T	29		1	T	2	2	2	1	2	3	4	1	3	2	2	2	2	2	2	2	2	1	2	3	2		6	4		3			6		7	3		19	2	23	3	1	6	4	5	2	46	4	3	1	5	6	2	4	25	99	25	5	11	14	39	8	8	11	13	3	34	13	5	11	2	330		2022-05-02 11:28:45	T	F	19	19	3	0	1.56	50"
"187			""base""	""interview""	2022-05-02 11:40:23	1	""Wissenschaftler ""	F	32		1	T	4	4	6	4	7	5	3	3	5	5	6	4	5	6	7	6	4	5	6	4	6	7			7		7	7		5			7	19	1	24	2	4	6	1	5	3	47	1	3	5	2	6	4	14	13	28	15	20	7	8	6	10	6	8	17	32	28	35	14	19	2	282		2022-05-02 11:45:05	T	F	19	19	3	0	1.37	22"
"191			""base""	""interview""	2022-05-02 11:40:56	1	""Freelancer""	F	30		1	T	5	7	5	6	6	5	5	4	6	5	5	6	4	7	6	3	3	4	6	5	5	4			7		7	3		4			7	20	1	25	5	3	4	6	1	2	48	6	2	3	4	1	5	9	14	27	11	11	7	8	20	10	43	6	13	15	32	36	42	23	3	330		2022-05-02 11:46:26	T	F	19	19	3	0	1.24	17"
"193			""base""	""interview""	2022-05-02 11:46:31	2	""Wissenschaftlicher Mitarbeiter ""	F	31		1	T	1	7	5	2	5	4	6	6	2	5	6	7	4	4	2	5	3	5	2	2	2		3	3		3			3		4	3		21	2	26	1	4	2	5	6	3	49	3	4	1	2	5	6	3	39	3	1	10	10	48	22	5	5	2	38	34	18	29	21	18	22	275		2022-05-02 11:51:59	T	F	19	19	3	0	1.49	95"
"203			""base""	""interview""	2022-05-02 12:32:18	3	""Arbeitslos""	F	29		1	T	4	1	5	5	6	5	4	3	5	5	5	5	4	6	6	5	3	6	5	5	6	6			7		6	6		6			7	22	1	28	3	6	4	2	1	5	54	2	6	4	3	1	5	6	11	29	13	6	14	7	19	4	36	27	18	13	28	18	11	25	2	287		2022-05-02 12:37:05	T	F	19	19	3	0	1.45	28"
"205			""base""	""interview""	2022-05-02 12:43:43	1	""Hausfrau""	F	42		1	T	5	2	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7			7		7	7		7			6	23	1	29	1	6	3	2	5	4	55	5	3	1	6	2	4	12	28	79	11	9	6	13	7	11	19	3	30	16	28	18	21	110	5	338		2022-05-02 12:50:49	T	F	19	19	3	0	1.2	22"
"226			""base""	""interview""	2022-05-02 13:56:44	1	""hausfrau""	F	62		1	T	6	6	6	6	2	6	6	6	6	6	6	6	6	6	6	6	2	2	2	2	4	2			3		2	3		5			2	24	1	30	6	3	2	4	1	5	58	3	6	5	1	2	4	5	12	3	2	7	6	23	5	11	8	4	10	13	19	25	15	28	8	204		2022-05-02 14:00:08	T	F	19	19	3	0	1.75	82"
"236			""base""	""interview""	2022-05-02 14:47:19	1	""erzieherin""	F	30	""♡""	1	T	5	6	1	5	5	5	5	3	5	5	5	5	5	5	5	5	5	5	1	3	5	1			7		7	3		1			7	26	1	31	6	3	5	4	2	1	61	4	2	3	6	1	5	78	15	75	26	28	26	18	71	12	12	41	27	23	85	55	28	49	50	551		2022-05-02 14:59:18	T	F	19	19	0	0	0.59	1"
"240			""base""	""interview""	2022-05-02 15:21:28	2	""Marktleiter im LEH""	F	42		1	T	7	6	6	6	7	6	7	6	6	7	6	7	7	7	5	5	6	5	6	7	7		5	6		6			6		7	6		27	2	32	1	4	3	2	6	5	63	3	4	6	2	1	5	5	32	7	3	9	3	12	7	3	7	2	13	4	7	7	13	3	4	141		2022-05-02 15:23:50	T	F	19	19	3	0	2.24	124"
"242			""base""	""interview""	2022-05-02 15:31:12	2	""Softwareentwickler""	F	32		1	T	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7		7	6		6			7		7	6		27	2	33	3	4	2	5	1	6	64	1	4	5	2	6	3	35	16	67	26	26	48	17	19	15	12	18	8	12	53	26	30	9	6	407		2022-05-02 15:38:35	T	F	19	19	3	0	0.94	9"
"243			""base""	""interview""	2022-05-02 15:32:51	2	""Project Manager""	F	44		1	T	1	1	6	1	6	7	4	7	5	7	6	4	6	4	6	6	6	1	6	6	6	1			7		7	1		1			7	27	1	34	3	1	6	4	2	5	65	6	3	2	4	1	5	13	12	45	23	5	7	10	51	7	38	6	17	16	35	26	15	16	12	316		2022-05-02 15:38:46	T	F	19	19	3	0	1.21	17"
"253			""base""	""interview""	2022-05-02 15:41:04	1		T	26		1	T	6	1	7	4	6	7	2	6	6	4	7	2	6	5	6	5	4	2	7	6	2	4			7		6	4		4			6	29	1	35	5	2	1	4	3	6	68	2	5	3	4	6	1	30	14	45	18	6	54	28	12	38	49	13	41	37	44	54	69	27	4	460		2022-05-02 15:50:47	T	F	19	19	3	0	0.74	4"
"256			""base""	""interview""	2022-05-02 16:06:06	2		T	25		1	T	4	7	5	4	5	5	1	5	4	4	5	1	5	6	6	5	3	5	5	3	5		6	6		6			6		6	6		30	2	36	1	5	4	3	2	6	70	3	2	5	6	4	1	76	16	51	20	7	8	17	13	13	12	8	21	8	21	29	20	11	24	293		2022-05-02 16:12:21	T	F	19	19	3	0	1.16	14"
"257			""base""	""interview""	2022-05-02 16:13:53	2	""Student ""	F	34		1	T	5	1	1	1	5	5	5	5	1	5	5	6	5	3	6	4	5	6	4	5	6	4			6		6	6		5			6	30	1	37	3	2	1	4	6	5	71	5	3	4	2	1	6	9	11	293	15	19	17	21	14	108	53	28	48	27	167	43	11	55	7	395		2022-05-02 16:29:39	T	F	19	19	3	0	0.74	7"
"258			""base""	""interview""	2022-05-02 16:22:12	1	""Buchhaltung""	F	27		1	T	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4			4		4	4		4			4	31	1	38	6	4	2	3	5	1	72	1	6	2	4	3	5	4	26	14	14	21	15	4	6	4	8	6	6	4	5	8	5	8	35	162		2022-05-02 16:25:25	T	F	19	19	3	0	2.17	88"
"259			""base""	""interview""	2022-05-02 16:34:03	1	""Lehrerin""	F	45	""Die Kontrafaktoren zeigen mir beispielhaft, welche Aspekte das Programm überprüft. Und klar verstehe ich, dass sobald *einer* der Faktoren verletzt ist, das überprüfte Ergebnis ausgeschlossen werden kann. Mich hat aber irritiert, dass die angegebenen Faktoren nicht für eine positive Antwort reichen. Bei den Tieren gab es ja sehr viele zu überprüfende Faktoren. Bei den Familienverhältnissen wäre für mich eine """"weil""""- Begründung hilfreicher gewesen. X ist Großmutter, weil sie eine Tochter hat, die Mutter ist. O.Ä."
"Also die Kontrafaktoren helfen mir ein paar vom Programm überprüfte Faktoren nachvollziehen zu können, aber nicht alle. Inwieweit mir das jetzt aber hilft, der Antwort der ki zu vertrauen, weiß ich nicht. Mich persönlich lässt das insgesamt eher nachdenklich zurück, weil mir der explizite Hinweis darauf fehlt.""	1	T	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5			6		7	5		5			7	32	1	40	4	6	5	3	1	2	73	6	3	1	5	2	4	22	18	55	25	93	12	10	16	31	50	18	57	239	21	44	22	81	963	380		2022-05-02 17:03:40	T	F	19	19	0	0	0.65	3"
"260			""base""	""interview""	2022-05-02 16:34:06	1	""Dozentin""	F	34		1	T	3	6	3	4	5	4	6	3	5	3	5	4	3	5	5	3	3	5	5	2	5		5	5		5			5		5	5		33	2	39	1	2	6	3	4	5	74	5	1	4	3	6	2	24	41	85	15	8	4	3	11	44	10	10	25	41	20	139	36	20	3	429		2022-05-02 16:43:05	T	F	19	19	3	0	1.12	21"
"270			""base""	""interview""	2022-05-02 16:53:36	1	""Data Scientist""	F	34		1	T	3	4	5	2	6	6	2	7	6	2	5	1	2	7	7	5	3	2	5	5	2		6	2		3			6		6	2		35	2	43	3	1	5	2	6	4	78	4	2	5	1	3	6	23	11	23	11	13	25	7	25	7	11	50	17	12	44	15	12	34	3	308		2022-05-02 16:59:20	T	F	19	19	3	0	1.22	19"
"285			""base""	""interview""	2022-05-02 17:33:03	1	""Erzieherin ""	F	22		1	T	5	6	3	3	4	1	2	1	3	2	2	1	3	3	2	3	3	3	2	2	3	7			5		4	7		7			3	35	1	44	3	4	2	1	6	5	79	2	4	5	6	3	1	5	12	30	15	5	22	9	6	5	6	15	16	21	23	37	39	24	1	291		2022-05-02 17:37:54	T	F	19	19	3	0	1.52	32"
"290			""base""	""interview""	2022-05-02 17:36:33	2	""Fachinformatiker Anwendungsentwicklung""	F	36		1	T	1	4	1	1	2	2	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1			7		5	1		1			7	37	1	45	4	1	3	2	6	5	81	2	3	6	5	1	4	2	13	12	39	14	26	21	19	20	17	6	25	21	30	54	14	11	3	347		2022-05-02 17:42:20	T	F	19	19	3	0	1.25	34"
"296			""base""	""interview""	2022-05-02 18:02:10	2		T	24		1	T	5	7	5	1	6	6	1	5	5	5	5	1	3	5	5	5	5	1	5	5	6		7	6		7			7		7	7		38	2	46	4	2	6	3	5	1	82	4	3	6	1	5	2	7	19	63	26	10	12	12	36	17	14	16	17	36	39	66	37	24	3	454		2022-05-02 18:09:44	T	F	19	19	3	0	0.89	4"
"300			""base""	""interview""	2022-05-02 18:33:33	2	""Consultant""	F	32	""Die KI sollte notwendige und hinreichende Bedinungen kennen lernen :)""	1	T	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2			7		3	2		2			7	39	1	47	5	6	1	3	2	4	84	4	1	5	3	2	6	18	11	68	26	7	14	16	23	6	21	22	19	8	12	9	37	8	48	329		2022-05-02 18:39:46	T	F	19	19	0	0	1.29	26"
"301			""base""	""interview""	2022-05-02 18:33:58	1	""Referentin ""	F	42		1	T	6	5	5	4	5	5	5	5	4	4	6	4	5	6	7	5	5	4	5	5	5	6			6		7	6		6			7	38	1	48	6	3	2	1	5	4	83	6	2	3	5	4	1	34	16	16	23	15	16	22	9	40	509	35	14	17	61	29	34	51	4	448		2022-05-02 18:49:43	T	F	19	19	3	0	0.85	7"
"305			""base""	""interview""	2022-05-02 18:56:33	3	""EU Rente""	F	42		1	T	4	1	7	3	7	7	3	7	3	7	7	3	3	5	7	7	4	7	7	4	7		4	2		2			6		6	2		39	2	49	3	1	6	5	2	4	85	1	2	3	5	4	6	42	94	93	28	80	62	26	20	24	18	28	36	55	104	59	36	42	8	588		2022-05-02 19:10:49	T	F	19	19	3	0	0.45	0"
"311			""base""	""interview""	2022-05-02 19:16:31	2	""Dozent""	F	37		1	T	2	6	4	5	4	3	3	2	4	5	4	1	3	3	4	4	3	2	3	4	3		4	4		4			4		7	4		40	2	50	4	3	6	5	2	1	86	2	1	4	5	6	3	7	11	56	21	7	19	4	13	21	8	20	9	14	18	40	13	14	2	297		2022-05-02 19:21:28	T	F	19	19	3	0	1.41	26"
"314			""base""	""interview""	2022-05-02 20:08:40	1	""Doktorandin ""	F	35	""Die Fragen zum Stammbaum sind teils schwierig zu beantworten, weil z.B. männlich gelesene Namen nicht unbedingt etwas darüber aussagen, dass es sich um einen Bruder handelt.""	1	T	2	3	3	1	3	5	2	1	3	4	4	2	1	6	6	3	2	1	3	1	3		7	3		3			6		7	2		41	2	52	2	1	4	3	6	5	88	3	5	2	1	4	6	31	20	55	19	17	18	29	16	24	10	17	18	32	30	46	22	18	140	426		2022-05-02 20:18:02	T	F	19	19	0	0	0.77	2"
"315			""base""	""interview""	2022-05-02 20:21:39	1		T	28		1	T	3	7	3	2	7	6	3	5	1	3	6	2	4	6	6	6	6	5	4	5	6		7	3		5			7		7	3		44	2	58	6	4	3	2	5	1	94	3	6	5	4	1	2	8801	17	54	13	6	14	22	8	13	17	19	15	15	23	24	31	32	4	341		2022-05-02 22:53:47	T	F	19	19	3	0	1	8"
"323			""base""	""interview""	2022-05-02 22:06:37	2	""Technischer Systemplaner""	F	37		1	T	7	1	5	4	7	5	1	4	3	7	5	1	3	7	7	5	4	1	5	3	7		5	3		3			1		5	2		41	2	53	6	3	2	4	5	1	89	4	5	3	1	6	2	42	31	31	19	21	9	12	33	14	10	14	12	20	67	24	94	34	2	420		2022-05-02 22:14:47	T	F	19	19	3	0	0.93	7"
"325			""base""	""interview""	2022-05-02 22:19:22	1	""Abteilungsleitung""	F	4		1	T	5	7	5	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2			7		7	2		2			7	41	1	54	6	3	2	1	4	5	90	5	3	1	6	2	4	11	18	19	11	7	17	19	5	42	10	3	12	27	20	18	10	39	2	290		2022-05-02 22:24:14	T	F	19	19	3	0	1.48	34"
"326			""base""	""interview""	2022-05-02 22:24:50	2		T	44	""Die Befragung fand ich interessant.""	1	T	5	3	4	3	4	5	4	5	4	4	6	4	5	5	5	5	5	3	4	5	3		5	5		5			5		5	5		42	2	55	5	6	1	4	3	2	91	6	5	1	4	3	2	31	22	50	15	10	11	8	11	26	27	16	42	37	49	62	61	55	47	512		2022-05-02 22:34:30	T	F	19	19	0	0	0.73	3"
"327			""base""	""interview""	2022-05-02 22:29:32	2	""Pädagogischer Bereich ""	F	38		1	T	4	7	4	7	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7			7		7	7		7			7	42	1	56	5	1	6	2	3	4	92	4	1	6	5	2	3	10	33	16	25	11	9	19	36	11	18	13	24	29	39	31	68	25	44	421		2022-05-02 22:37:13	T	F	19	19	3	0	0.89	7"
"331			""base""	""interview""	2022-05-02 22:41:37	1	""Tischlerin""	F	34		1	T	7	7	4	7	7	7	4	4	7	4	7	3	3	7	7	7	4	3	5	5	5	3			7		4	3		2			6	43	1	57	6	2	1	4	5	3	93	1	3	6	5	4	2	11	23	17	12	23	7	13	10	7	12	14	9	17	18	22	17	26	4	262		2022-05-02 22:45:59	T	F	19	19	3	0	1.32	19"
"332			""base""	""interview""	2022-05-02 22:56:13	2	""Softwareentwicklung ""	F	26		1	T	2	7	5	4	6	5	6	2	4	6	5	6	2	6	6	5	2	6	5	2	6		6	5		5			6		6	5		44	2	59	2	6	5	1	3	4	95	2	4	1	5	3	6	4	24	26	8	6	34	8	17	10	7	11	19	115	20	25	12	37	3	291		2022-05-02 23:02:39	T	F	19	19	3	0	1.35	26"
"333			""base""	""interview""	2022-05-02 23:02:35	2	""Software Entwickler""	F	32		1	T	6	5	5	2	5	4	1	6	2	1	7	4	6	5	6	6	6	2	6	6	6	7			7		7	7		7			7	44	1	60	2	3	1	5	4	6	96	3	6	5	1	4	2	36	15	73	34	9	39	30	13	16	39	20	22	46	81	47	30	13	2	538		2022-05-02 23:12:00	T	F	19	19	3	0	0.79	6"
"338			""base""	""interview""	2022-05-02 23:17:01	1	""Referentin für Öffentlichkeitsarbeit""	F	22		1	T	5	7	5	1	6	5	1	5	6	3	3	6	2	7	6	5	3	6	5	3	6		6	5		3			6		5	2		45	2	61	5	3	2	1	6	4	97	6	5	1	3	2	4	16	32	49	21	24	42	16	33	85	166	19	22	28	98	43	57	22	3	454		2022-05-02 23:29:58	T	F	19	19	3	0	0.63	1"
"342			""base""	""interview""	2022-05-03 05:37:05	2	""Pädagoge""	F	26		1	T	6	4	6	6	6	6	6	6	5	6	6	6	6	5	6	6	6	6	6	6	6	6			6		6	6		6			6	46	1	63	6	2	3	5	4	1	99	3	6	2	4	1	5	3	12	4	1	4	4	25	3	3	3	2	12	14	31	16	16	16	7	176		2022-05-03 05:40:03	T	F	19	19	3	0	2.1	128"
"347			""base""	""interview""	2022-05-03 10:04:58	2	""Geschäftskundenvertrieb""	F	33		1	T	3	5	4	5	6	4	4	3	5	2	4	3	2	6	6	3	3	2	4	3	6	5			5		5	5		5			6	47	1	64	5	2	1	4	3	6	100	3	5	2	4	6	1	10	12	31	38	7	7	18	4	8	7	17	10	17	11	47	34	6	2	286		2022-05-03 10:09:45	T	F	19	19	3	0	1.55	34"
"357			""base""	""interview""	2022-05-03 10:56:59	2	""Rentner ""	F	69	""Bei den Tierarten empfand ich die kontrafaktischen Vorgaben zu """"schwammig"""". Ansonsten fand ich diese Studie recht interessant!"
"Viel Glück und Erfolg!""	1	T	5	6	4	1	4	5	4	3	4	4	5	4	4	5	5	4	4	4	4	4	4	7			7		7	7		7			7	48	1	66	2	4	3	6	5	1	102	3	6	4	2	1	5	93	57	129	42	47	21	54	42	29	44	38	32	65	56	66	30	26	199	635		2022-05-03 11:14:49	T	F	19	19	0	0	0.4	0"
"358			""base""	""interview""	2022-05-03 11:24:39	2	""Versicherungsangestellter""	F	55		1	T	7	1	6	1	4	6	4	3	6	6	6	5	3	7	7	6	4	2	6	1	6		7	7		7			7		7	7		48	2	67	2	4	1	6	3	5	103	4	6	1	5	3	2	10	33	66	22	15	25	9	34	15	29	40	36	45	29	46	22	38	6	520		2022-05-03 11:33:19	T	F	19	19	3	0	0.72	3"
"367			""base""	""interview""	2022-05-03 12:19:38	2	""Webdevelopment""	F	38		1	T	1	3	3	1	5	7	7	7	3	7	7	6	4	4	7	7	7	1	7	6	6		7	3		3			7		6	3		49	2	69	3	5	1	6	4	2	105	5	6	1	2	4	3	10	18	66	23	12	19	11	13	24	21	19	20	52	51	25	28	14	4	430		2022-05-03 12:26:48	T	F	19	19	3	0	0.88	4"
"369			""base""	""interview""	2022-05-03 12:53:47	2	""Elektrotechniker""	F	32	""Zusätzlich waren für mich Informationen wichtig, warum die KI etwas positiv als XY klassifiziert hat und ob, beim Beispiel Stammbaum, Informationen über eventuelle Geschlechtsumwandlungen vorliegen, die eine Kategorisierung """"Männlich/Weibliche"""" eventuell weniger belastbar machen.""	1	T	7	4	6	6	6	6	4	6	4	6	6	4	6	4	7	6	6	2	6	6	6		7	5		5			7		6	7		50	2	70	6	2	3	4	5	1	106	2	1	4	3	5	6	4	16	3	11	7	23	5	7	6	4	11	8	16	19	15	12	19	92	190		2022-05-03 12:58:25	T	F	19	19	0	0	1.77	66"
"370			""base""	""interview""	2022-05-03 12:59:31	2	""Dev Ingenieur""	F	46		1	T	3	5	4	2	4	5	5	5	5	5	4	4	4	4	4	3	3	3	5	4	5		7	3		4			7		7	4		50	2	71	3	6	2	1	5	4	107	3	5	4	1	6	2	2220	91	47	67	20	23	165	26	116	23	16	20	35	50	99	29	47	188	446		2022-05-03 13:54:14	T	F	19	19	3	0	0.46	0"
"372			""base""	""interview""	2022-05-03 13:56:41	1	""Beamten""	F	40		1	T	4	2	4	4	5	4	3	5	2	4	4	1	5	2	6	3	4	2	4	6	6		4	4		5			7		6	6		50	2	72	6	4	1	5	3	2	108	1	2	4	5	6	3	4	12	12	9	15	14	9	7	9	8	23	12	12	24	23	19	23	2	237		2022-05-03 14:00:38	T	F	19	19	3	0	1.55	33"
"376			""base""	""interview""	2022-05-03 18:34:54	2	""Offshore Monteur""	F	35		1	T	6	6	7	7	7	7	7	6	5	6	6	6	5	7	6	5	6	6	6	7	7		7	2		2			7		7	2		50	2	73	5	6	3	2	1	4	109	1	4	2	6	5	3	27	29	44	17	23	18	24	13	16	26	16	15	20	34	33	42	28	3	428		2022-05-03 18:42:02	T	F	19	19	3	0	0.81	1"
